,Date,Last Close Price,Open,High,Low,Volume,Percentage Changes,Events
313,"Nov 06, 2018",277.30,281.10,281.85,276.10,9.77M,-0.82%,
314,"Nov 05, 2018",279.60,285.25,285.25,278.40,7.38M,-1.29%,
315,"Nov 02, 2018",283.25,278.30,285.95,278.30,11.64M,2.11%,
316,"Nov 01, 2018",277.40,280.00,281.80,274.80,9.45M,-0.96%,
317,"Oct 31, 2018",280.10,279.55,281.00,272.85,13.50M,0.41%,
318,"Oct 30, 2018",278.95,283.25,283.85,278.00,6.85M,-1.60%,
319,"Oct 29, 2018",283.50,281.90,285.25,278.95,11.34M,0.93%,
320,"Oct 26, 2018",280.90,289.70,289.80,276.00,21.48M,-2.31%,E
321,"Oct 25, 2018",287.55,286.00,289.50,284.50,9.58M,-0.07%,
322,"Oct 24, 2018",287.75,288.70,289.65,286.35,8.69M,0.61%,
323,"Oct 23, 2018",286.00,286.00,291.20,283.55,10.84M,-0.87%,
324,"Oct 22, 2018",288.50,292.00,293.10,287.30,12.48M,-0.33%,
325,"Oct 19, 2018",289.45,285.00,291.55,284.75,8.03M,1.05%,
326,"Oct 17, 2018",286.45,283.90,291.65,281.55,15.31M,1.34%,
327,"Oct 16, 2018",282.65,283.00,283.75,276.35,11.87M,0.05%,
328,"Oct 15, 2018",282.50,278.95,283.60,276.00,17.93M,2.65%,
329,"Oct 12, 2018",275.20,267.50,277.65,267.30,13.43M,3.77%,
330,"Oct 11, 2018",265.20,265.00,269.30,263.65,10.61M,-1.81%,
331,"Oct 10, 2018",270.10,269.90,271.15,267.20,11.48M,0.60%,
332,"Oct 09, 2018",268.50,275.50,275.50,267.75,10.54M,-1.72%,
333,"Oct 08, 2018",273.20,279.00,279.40,269.15,16.43M,-1.19%,
334,"Oct 05, 2018",276.50,285.50,286.00,275.10,17.62M,-3.69%,
335,"Oct 04, 2018",287.10,293.85,295.70,285.15,8.11M,-2.74%,
336,"Oct 03, 2018",295.20,297.00,300.00,294.65,7.57M,-0.64%,
337,"Oct 01, 2018",297.10,300.85,302.95,293.40,9.03M,-0.22%,
338,"Sep 28, 2018",297.75,295.00,300.00,291.80,24.61M,1.52%,
339,"Sep 27, 2018",293.30,293.50,295.10,289.50,12.08M,0.05%,
